omp_threads,timestamp,concurrency,requests_total,duration_sec,throughput_req_per_sec,error_rate_pct,uvicorn_workers,memory_used_mb,memory_total_mb,model_id,n_samples,inference_time_ms_avg,inference_time_ms_ci95_lower,inference_time_ms_ci95_upper
10,2026-06-11T20:10:09Z,50,50,120.258,0.17,58.0,4,2570,3795,extratrees_gradientboosting,21,516.075,451.536,580.615
10,2026-06-11T20:10:09Z,50,50,120.258,0.17,58.0,4,2570,3795,lowvariance_decisiontree,21,115.06,91.237,138.883
10,2026-06-11T20:10:09Z,50,50,120.258,0.17,58.0,4,2570,3795,lowvariance_gradientboosting,21,497.649,409.494,585.803
10,2026-06-11T20:10:09Z,50,50,120.258,0.17,58.0,4,2570,3795,lowvariance_lda,21,120.108,94.688,145.528
10,2026-06-11T20:10:09Z,50,50,120.258,0.17,58.0,4,2570,3795,lowvariance_randomforest,21,4017.061,3620.823,4413.298
30,2026-06-11T20:12:26Z,50,50,120.061,0.29,30.0,4,2900,3795,extratrees_gradientboosting,35,745.357,628.103,862.611
30,2026-06-11T20:12:26Z,50,50,120.061,0.29,30.0,4,2900,3795,lowvariance_decisiontree,35,163.847,132.927,194.768
30,2026-06-11T20:12:26Z,50,50,120.061,0.29,30.0,4,2900,3795,lowvariance_gradientboosting,35,622.017,499.762,744.272
30,2026-06-11T20:12:26Z,50,50,120.061,0.29,30.0,4,2900,3795,lowvariance_lda,35,132.28,109.668,154.893
30,2026-06-11T20:12:26Z,50,50,120.061,0.29,30.0,4,2900,3795,lowvariance_randomforest,35,6305.397,5527.854,7082.941
50,2026-06-11T20:14:36Z,50,50,114.911,0.44,0.0,4,2856,3795,extratrees_gradientboosting,50,632.24,537.336,727.145
50,2026-06-11T20:14:36Z,50,50,114.911,0.44,0.0,4,2856,3795,lowvariance_decisiontree,50,112.766,96.823,128.709
50,2026-06-11T20:14:36Z,50,50,114.911,0.44,0.0,4,2856,3795,lowvariance_gradientboosting,50,452.223,400.313,504.134
50,2026-06-11T20:14:36Z,50,50,114.911,0.44,0.0,4,2856,3795,lowvariance_lda,50,102.605,88.857,116.354
50,2026-06-11T20:14:36Z,50,50,114.911,0.44,0.0,4,2856,3795,lowvariance_randomforest,50,5358.932,4713.126,6004.739
