frame.time_delta,frame.time_delta_displayed,frame.time_epoch,frame.time_invalid,frame.time_relative,ip.src,ip.dst,tcp.srcport,tcp.dstport,eth.src,eth.dst,frame.cap_len,frame.coloring_rule.name,frame.coloring_rule.string,frame.comment,frame.comment.expert,frame.encap_type,frame.file_off,frame.ignored,frame.incomplete,frame.interface_id,frame.interface_name,frame.len,frame.link_nr,frame.marked,frame.md5_hash,frame.number,frame.offset_shift,mqtt.clientid,mqtt.clientid_len,mqtt.conack.flags,mqtt.conack.flags.reserved,mqtt.conack.flags.sp,mqtt.conack.val,mqtt.conflag.cleansess,mqtt.conflag.passwd,mqtt.conflag.qos,mqtt.conflag.reserved,mqtt.conflag.retain,mqtt.conflag.uname,mqtt.conflag.willflag,mqtt.conflags,mqtt.dupflag,mqtt.hdrflags,mqtt.kalive,mqtt.len,mqtt.msg,mqtt.msgid,mqtt.msgtype,mqtt.passwd,mqtt.passwd_len,mqtt.protoname,mqtt.qos,mqtt.retain,mqtt.sub.qos,mqtt.suback.qos,mqtt.topic,mqtt.topic_len,mqtt.username,mqtt.username_len,mqtt.willmsg,mqtt.willmsg_len,mqtt.willtopic,mqtt.willtopic_len,type,publish_gap,connect_gap
4.8e-05,4.8e-05,1522235819.983345,,449.592637,216.58.214.162,192.168.1.227,,,18:a6:f7:eb:77:26,48:5a:3f:93:39:9c,60,,,,,1,,0,,,,60,,0,,33957,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
6.3e-05,6.3e-05,1522235866.241988,,495.85128,192.168.1.196,192.168.1.171,52251.0,1883.0,30:5a:3a:62:72:80,74:d4:35:ef:e5:5a,1514,,,,,1,,0,,,,1514,,0,,39740,0.0,,,,,,,,,,,,,,,0.0,0x00000030,,170.0,C0a6CF1209Bc3Cba2bd29b1c16D78DAbB0CE8EF4Eaf0D2EeCA5e84454Bec6cadec399A0A10fEb93C4eDafDB431CEf9E376fCEE0A,,3.0,,,,0.0,0.0,,,mqtt-malaria/beem.loadr-malaria-VirtualBox-7061-142/data/138/200,64.0,,,,,,,0,0.0,
3.7e-05,3.7e-05,1522235873.251782,,502.861074,192.168.1.196,192.168.1.171,52192.0,1883.0,30:5a:3a:62:72:80,74:d4:35:ef:e5:5a,54,,,,,1,,0,,,,54,,0,,40517,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
0.000139,0.000139,1522235660.166934,,289.776226,205.185.216.10,192.168.1.227,443.0,54132.0,18:a6:f7:eb:77:26,48:5a:3f:93:39:9c,1514,,,,,1,,0,,,,1514,,0,,23990,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0.000576,0.000576,1522236254.870051,,884.479343,130.206.193.108,192.168.1.196,443.0,52647.0,18:a6:f7:eb:77:26,30:5a:3a:62:72:80,1514,,,,,1,,0,,,,1514,,0,,61178,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0.000118,0.000118,1522236038.047587,,667.656879,91.189.88.148,192.168.1.196,80.0,52316.0,18:a6:f7:eb:77:26,30:5a:3a:62:72:80,1514,,,,,1,,0,,,,1514,,0,,46673,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0.000124,0.000124,1522235471.002845,,100.612137,91.189.88.148,192.168.1.196,80.0,51903.0,18:a6:f7:eb:77:26,30:5a:3a:62:72:80,1514,,,,,1,,0,,,,1514,,0,,6841,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
9.6e-05,9.6e-05,1522235854.308689,,483.917981,192.229.220.133,192.168.1.194,443.0,54331.0,18:a6:f7:eb:77:26,4c:74:03:07:92:4f,1514,,,,,1,,0,,,,1514,,0,,36014,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0.000101,0.000101,1522235451.771912,,81.381204,162.213.33.101,192.168.1.196,443.0,51863.0,18:a6:f7:eb:77:26,30:5a:3a:62:72:80,1514,,,,,1,,0,,,,1514,,0,,5413,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
8.5e-05,8.5e-05,1522235708.1894,,337.798692,172.217.16.238,192.168.1.227,,,18:a6:f7:eb:77:26,48:5a:3f:93:39:9c,73,,,,,1,,0,,,,73,,0,,25727,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
2.3e-05,2.3e-05,1522235419.289275,,48.898567,192.168.1.171,192.168.1.227,1334.0,45690.0,74:d4:35:ef:e5:5a,48:5a:3f:93:39:9c,1514,,,,,1,,0,,,,1514,,0,,2311,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0.000165,0.000165,1522236124.550746,,754.160038,192.168.1.171,192.168.1.196,1883.0,52472.0,74:d4:35:ef:e5:5a,30:5a:3a:62:72:80,60,,,,,1,,0,,,,60,,0,,54220,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
5.8e-05,5.8e-05,1522235709.706692,,339.315984,192.168.1.227,216.58.214.174,33626.0,443.0,48:5a:3f:93:39:9c,18:a6:f7:eb:77:26,66,,,,,1,,0,,,,66,,0,,26238,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
3.4e-05,3.4e-05,1522235608.512203,,238.121495,192.168.1.171,192.168.1.196,1883.0,51990.0,74:d4:35:ef:e5:5a,30:5a:3a:62:72:80,60,,,,,1,,0,,,,60,,0,,17987,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
0.00025,0.00025,1522235885.09216,,514.701452,192.168.1.171,192.168.1.196,1883.0,52123.0,74:d4:35:ef:e5:5a,30:5a:3a:62:72:80,60,,,,,1,,0,,,,60,,0,,40709,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
0.000108,0.000108,1522235647.154083,,276.763375,192.168.1.227,52.31.137.171,52601.0,443.0,48:5a:3f:93:39:9c,18:a6:f7:eb:77:26,66,,,,,1,,0,,,,66,,0,,21643,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
8.1e-05,8.1e-05,1522236033.903219,,663.512511,91.189.88.148,192.168.1.196,80.0,52316.0,18:a6:f7:eb:77:26,30:5a:3a:62:72:80,1514,,,,,1,,0,,,,1514,,0,,46509,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0.000108,0.000108,1522235520.508914,,150.118206,91.189.88.148,192.168.1.196,80.0,51903.0,18:a6:f7:eb:77:26,30:5a:3a:62:72:80,1514,,,,,1,,0,,,,1514,,0,,12203,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0.000126,0.000126,1522235854.062527,,483.671819,192.229.220.133,192.168.1.194,443.0,54331.0,18:a6:f7:eb:77:26,4c:74:03:07:92:4f,1514,,,,,1,,0,,,,1514,,0,,35585,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
3.6e-05,3.6e-05,1522235708.10307,,337.712362,192.168.1.227,239.255.255.250,,,48:5a:3f:93:39:9c,30:5a:3a:62:72:80,167,,,,,1,,0,,,,167,,0,,25712,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
