frame.time_delta,frame.cap_len,frame.len,mqtt.clientid_len,mqtt.conack.val,mqtt.kalive,mqtt.len,mqtt.msgtype,mqtt.qos,mqtt.topic_len,publish_gap,connect_gap,type
0.001836,792.0,792.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
0.000287,1514.0,1514.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
0.000135,1514.0,1514.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
0.000692,54.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
5.8e-05,78.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS
8.8e-05,1514.0,1514.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
9.6e-05,1514.0,1514.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
0.001599,795.0,795.0,0.0,0.0,0.0,160.0,3.0,0.0,63.0,0.0,0.0,DoS
7.6e-05,117.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
0.001175,54.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
0.000125,1514.0,1514.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
0.000122,1514.0,1514.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
0.000116,1514.0,1514.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
1.8e-05,54.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
5.8e-05,54.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
0.000119,66.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
0.001246,66.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
0.039749,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
2.3e-05,1514.0,1514.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
0.000496,1514.0,1514.0,0.0,0.0,0.0,167.0,3.0,0.0,63.0,0.0008780956268310547,0.0,DoS
7.3e-05,1392.0,1392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
1.7e-05,66.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS
1.7e-05,66.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS
0.000571,1514.0,1514.0,0.0,0.0,0.0,165.0,3.0,0.0,63.0,0.0006051063537597656,0.0,DoS
0.001552,367.0,367.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
6.9e-05,1514.0,1514.0,0.0,0.0,0.0,170.0,3.0,0.0,63.0,0.0,0.0,DoS
0.085779,166.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
3.9e-05,972.0,972.0,0.0,0.0,0.0,163.0,3.0,0.0,63.0,0.0,0.0,DoS
6.4e-05,1514.0,1514.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
0.000235,1514.0,1514.0,0.0,0.0,0.0,159.0,3.0,0.0,62.0,0.0,0.0,DoS
0.000617,1514.0,1514.0,0.0,0.0,0.0,155.0,3.0,0.0,63.0,0.0,0.0,DoS
0.001639,60.0,60.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,DoS
0.000137,1514.0,1514.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
0.014834,74.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
0.003599,66.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
2.7e-05,1118.0,1118.0,0.0,0.0,0.0,169.0,3.0,0.0,63.0,0.0,0.0,DoS
0.001888,1514.0,1514.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
0.000477,60.0,60.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,DoS
0.003151,81.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
0.000434,1514.0,1514.0,0.0,0.0,0.0,172.0,3.0,0.0,63.0,0.0,0.0,DoS
8e-05,54.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
2.8e-05,1514.0,1514.0,0.0,0.0,0.0,162.0,3.0,0.0,62.0,0.0,0.0,DoS
0.000732,1514.0,1514.0,0.0,0.0,0.0,170.0,3.0,0.0,63.0,0.0,0.0,DoS
1.6e-05,1514.0,1514.0,0.0,0.0,0.0,163.0,3.0,0.0,63.0,0.0,0.0,DoS
2.9e-05,1514.0,1514.0,0.0,0.0,0.0,159.0,3.0,0.0,62.0,0.0,0.0,DoS
5.7e-05,54.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
0.000125,1514.0,1514.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
6.1e-05,54.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
2.8e-05,188.0,188.0,0.0,0.0,0.0,164.0,3.0,0.0,64.0,2.7894973754882812e-05,0.0,DoS
0.550903,65.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
0.001087,54.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
0.000225,1514.0,1514.0,0.0,0.0,0.0,159.0,3.0,0.0,63.0,0.0,0.0,DoS
0.000143,1514.0,1514.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
8.5e-05,1514.0,1514.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
0.000202,1514.0,1514.0,0.0,0.0,0.0,162.0,3.0,0.0,62.0,0.0,0.0,DoS
8.1e-05,1514.0,1514.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
0.000434,89.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
9.3e-05,1514.0,1514.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
5.8e-05,54.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS
4.4e-05,1282.0,1282.0,0.0,0.0,0.0,168.0,3.0,0.0,63.0,0.0,0.0,DoS
4.4e-05,1277.0,1277.0,0.0,0.0,0.0,174.0,3.0,0.0,64.0,0.0,0.0,DoS
4.4e-05,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS
0.000111,1514.0,1514.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
0.00013,1392.0,1392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
4.9e-05,1514.0,1514.0,0.0,0.0,0.0,161.0,3.0,0.0,62.0,0.0,0.0,DoS
6e-05,1240.0,1240.0,0.0,0.0,0.0,158.0,3.0,0.0,62.0,0.0,0.0,DoS
3.2e-05,1514.0,1514.0,0.0,0.0,0.0,174.0,3.0,0.0,62.0,0.0,0.0,DoS
7.7e-05,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS
0.000125,1514.0,1514.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
4.4e-05,1514.0,1514.0,0.0,0.0,0.0,161.0,3.0,0.0,63.0,0.0,0.0,DoS
4.1e-05,1423.0,1423.0,0.0,0.0,0.0,162.0,3.0,0.0,62.0,0.0,0.0,DoS
0.000539,1514.0,1514.0,0.0,0.0,0.0,169.0,3.0,0.0,63.0,0.0,0.0,DoS
0.001244,1514.0,1514.0,0.0,0.0,0.0,156.0,3.0,0.0,63.0,0.0,0.0,DoS
0.000279,1514.0,1514.0,0.0,0.0,0.0,169.0,3.0,0.0,63.0,0.0003800392150878906,0.0,DoS
6.5e-05,54.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
0.001243,54.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
4.4e-05,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS
