frame.time_delta,frame.time_delta_displayed,frame.time_epoch,frame.time_invalid,frame.time_relative,ip.src,ip.dst,tcp.srcport,tcp.dstport,eth.src,eth.dst,frame.cap_len,frame.coloring_rule.name,frame.coloring_rule.string,frame.comment,frame.comment.expert,frame.encap_type,frame.file_off,frame.ignored,frame.incomplete,frame.interface_id,frame.interface_name,frame.len,frame.link_nr,frame.marked,frame.md5_hash,frame.number,frame.offset_shift,mqtt.clientid,mqtt.clientid_len,mqtt.conack.flags,mqtt.conack.flags.reserved,mqtt.conack.flags.sp,mqtt.conack.val,mqtt.conflag.cleansess,mqtt.conflag.passwd,mqtt.conflag.qos,mqtt.conflag.reserved,mqtt.conflag.retain,mqtt.conflag.uname,mqtt.conflag.willflag,mqtt.conflags,mqtt.dupflag,mqtt.hdrflags,mqtt.kalive,mqtt.len,mqtt.msg,mqtt.msgid,mqtt.msgtype,mqtt.passwd,mqtt.passwd_len,mqtt.protoname,mqtt.qos,mqtt.retain,mqtt.sub.qos,mqtt.suback.qos,mqtt.topic,mqtt.topic_len,mqtt.username,mqtt.username_len,mqtt.willmsg,mqtt.willmsg_len,mqtt.willtopic,mqtt.willtopic_len,type,publish_gap,connect_gap
0.0,0.0,1535971845.728512,,0.0,192.168.1.227,31.13.83.170,57188.0,443.0,48:5a:3f:93:39:9c,18:a6:f7:eb:77:26,74,,,,,1,,0,,,,74,,0,,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,0.0,0.0
0.005887,0.005887,1535971845.734399,,0.005887,31.13.83.170,192.168.1.227,443.0,57188.0,18:a6:f7:eb:77:26,48:5a:3f:93:39:9c,74,,,,,1,,0,,,,74,,0,,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,0.0,0.0
0.010402,0.010402,1535971845.746089,,0.017577,192.168.1.227,31.13.83.170,57188.0,443.0,48:5a:3f:93:39:9c,18:a6:f7:eb:77:26,441,,,,,1,,0,,,,441,,0,,4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,0.0,0.0
0.004078,0.004078,1535971845.750167,,0.021655,192.168.1.227,31.13.83.170,57188.0,443.0,48:5a:3f:93:39:9c,18:a6:f7:eb:77:26,715,,,,,1,,0,,,,715,,0,,5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,0.0,0.0
0.000906,0.000906,1535971845.752629,,0.024117,31.13.83.170,192.168.1.227,443.0,57188.0,18:a6:f7:eb:77:26,48:5a:3f:93:39:9c,282,,,,,1,,0,,,,282,,0,,7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,0.0,0.0
8.5e-05,8.5e-05,1535971845.752714,,0.024202,31.13.83.170,192.168.1.227,443.0,57188.0,18:a6:f7:eb:77:26,48:5a:3f:93:39:9c,140,,,,,1,,0,,,,140,,0,,8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,0.0,0.0
0.001037,0.001037,1535971845.753751,,0.025239,192.168.1.227,31.13.83.170,57188.0,443.0,48:5a:3f:93:39:9c,18:a6:f7:eb:77:26,66,,,,,1,,0,,,,66,,0,,9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,0.0,0.0
0.000465,0.000465,1535971845.754216,,0.025704,192.168.1.227,31.13.83.170,57188.0,443.0,48:5a:3f:93:39:9c,18:a6:f7:eb:77:26,66,,,,,1,,0,,,,66,,0,,10,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,0.0,0.0
0.001946,0.001946,1535971845.756162,,0.02765,31.13.83.170,192.168.1.227,443.0,57188.0,18:a6:f7:eb:77:26,48:5a:3f:93:39:9c,97,,,,,1,,0,,,,97,,0,,11,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,0.0,0.0
0.002566,0.002566,1535971845.758728,,0.030216,192.168.1.227,31.13.83.170,57188.0,443.0,48:5a:3f:93:39:9c,18:a6:f7:eb:77:26,66,,,,,1,,0,,,,66,,0,,12,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,0.0,0.0
0.019252,0.019252,1535971845.77798,,0.049468,192.168.1.227,31.13.83.170,57188.0,443.0,48:5a:3f:93:39:9c,18:a6:f7:eb:77:26,150,,,,,1,,0,,,,150,,0,,13,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,0.0,0.0
0.000281,0.000281,1535971845.778261,,0.049749,192.168.1.227,31.13.83.170,57188.0,443.0,48:5a:3f:93:39:9c,18:a6:f7:eb:77:26,97,,,,,1,,0,,,,97,,0,,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,0.0,0.0
0.00642,0.00642,1535971845.809677,,0.081165,192.168.1.227,31.13.83.170,57188.0,443.0,48:5a:3f:93:39:9c,18:a6:f7:eb:77:26,389,,,,,1,,0,,,,389,,0,,18,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,0.0,0.0
0.000101,0.000101,1535971845.815257,,0.086745,31.13.83.170,192.168.1.227,443.0,57188.0,18:a6:f7:eb:77:26,48:5a:3f:93:39:9c,101,,,,,1,,0,,,,101,,0,,20,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,0.0,0.0
0.00221,0.00221,1535971845.817553,,0.089041,192.168.1.227,31.13.83.170,57188.0,443.0,48:5a:3f:93:39:9c,18:a6:f7:eb:77:26,118,,,,,1,,0,,,,118,,0,,22,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,0.0,0.0
0.000409,0.000409,1535971845.818057,,0.089545,192.168.1.227,31.13.83.170,57188.0,443.0,48:5a:3f:93:39:9c,18:a6:f7:eb:77:26,66,,,,,1,,0,,,,66,,0,,24,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,0.0,0.0
0.000117,0.000117,1535971845.823309,,0.094797,31.13.83.170,192.168.1.227,443.0,57188.0,18:a6:f7:eb:77:26,48:5a:3f:93:39:9c,105,,,,,1,,0,,,,105,,0,,26,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,0.0,0.0
0.002803,0.002803,1535971845.82617,,0.097658,192.168.1.227,31.13.83.170,57188.0,443.0,48:5a:3f:93:39:9c,18:a6:f7:eb:77:26,54,,,,,1,,0,,,,54,,0,,28,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,0.0,0.0
1.983358,1.983358,1535971847.810192,,2.08168,192.168.1.234,192.168.1.171,49153.0,1883.0,a0:20:a6:17:44:ed,74:d4:35:ef:e5:5a,56,,,,,1,,0,,,,56,,0,,31,0.0,,,,,,,,,,,,,,,,0x000000c0,,0.0,,,12.0,,,,,,,,,,,,,,,,normal,0.0,0.0
0.000976,0.000976,1535971847.811168,,2.082656,192.168.1.171,192.168.1.234,1883.0,49153.0,74:d4:35:ef:e5:5a,a0:20:a6:17:44:ed,60,,,,,1,,0,,,,60,,0,,32,0.0,,,,,,,,,,,,,,,,0x000000d0,,0.0,,,13.0,,,,,,,,,,,,,,,,normal,0.0,0.0
0.154697,0.154697,1535971847.965865,,2.237353,192.168.1.234,192.168.1.171,49153.0,1883.0,a0:20:a6:17:44:ed,74:d4:35:ef:e5:5a,54,,,,,1,,0,,,,54,,0,,33,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,0.0,0.0
0.513342,0.513342,1535971848.479207,,2.750695,192.168.1.102,192.168.1.171,59130.0,3000.0,30:5a:3a:62:72:80,74:d4:35:ef:e5:5a,64,,,,,1,,0,,,,64,,0,,34,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,0.0,0.0
