mqtt.len,mqtt.topic_len,frame.cap_len,frame.time_delta,mqtt.clientid_len,mqtt.conack.flags.reserved,connect_gap,mqtt.conack.flags.sp,publish_gap,frame.len,mqtt.conack.val,mqtt.conflag.cleansess,mqtt.conflag.passwd,mqtt.conflag.uname,mqtt.conflag.retain
0.0,0.0,60,4.8e-05,0.0,0.0,0.0,0.0,0.0,60,0.0,0.0,0.0,0.0,0.0
170.0,64.0,1514,6.3e-05,0.0,0.0,0.0,0.0,0.0,1514,0.0,0.0,0.0,0.0,0.0
0.0,0.0,54,3.7e-05,0.0,0.0,0.0,0.0,0.0,54,0.0,0.0,0.0,0.0,0.0
174.0,63.0,1514,0.000145,0.0,0.0,0.0,0.0,250.42036509513852,1514,0.0,0.0,0.0,0.0,0.0
168.0,62.0,219,6e-05,0.0,0.0,0.0,0.0,-516.7421190738678,219,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1514,0.000139,0.0,0.0,0.0,0.0,0.0,1514,0.0,0.0,0.0,0.0,0.0
0.0,0.0,54,0.0018595,0.0,0.0,0.0,0.0,0.0,54,0.0,0.0,0.0,0.0,0.0
168.0,64.0,1514,0.000563,0.0,0.0,0.0,0.0,516.7413721084595,1514,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1514,0.000576,0.0,0.0,0.0,0.0,0.0,1514,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1514,0.000118,0.0,0.0,0.0,0.0,0.0,1514,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1514,0.000124,0.0,0.0,0.0,0.0,0.0,1514,0.0,0.0,0.0,0.0,0.0
0.0,0.0,54,0.0018595,0.0,0.0,0.0,0.0,0.0,54,0.0,0.0,0.0,0.0,0.0
175.0,63.0,1514,0.000323,0.0,0.0,0.0,0.0,-252.1941499710083,1514,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1514,9.6e-05,0.0,0.0,0.0,0.0,0.0,1514,0.0,0.0,0.0,0.0,0.0
160.0,62.0,1514,0.000579,0.0,0.0,0.0,0.0,258.879163980484,1514,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1514,0.000101,0.0,0.0,0.0,0.0,0.0,1514,0.0,0.0,0.0,0.0,0.0
163.0,63.0,1514,0.001356,0.0,0.0,0.0,0.0,0.3150069713592529,1514,0.0,0.0,0.0,0.0,0.0
0.0,0.0,73,8.5e-05,0.0,0.0,0.0,0.0,0.0,73,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1514,2.3e-05,0.0,0.0,0.0,0.0,0.0,1514,0.0,0.0,0.0,0.0,0.0
0.0,0.0,60,0.000165,0.0,0.0,0.0,0.0,0.0,60,0.0,0.0,0.0,0.0,0.0
0.0,0.0,66,5.8e-05,0.0,0.0,0.0,0.0,0.0,66,0.0,0.0,0.0,0.0,0.0
0.0,0.0,60,3.4e-05,0.0,0.0,0.0,0.0,0.0,60,0.0,0.0,0.0,0.0,0.0
170.0,64.0,1320,3.8e-05,0.0,0.0,0.0,0.0,-523.2184541225433,1320,0.0,0.0,0.0,0.0,0.0
0.0,0.0,60,0.00025,0.0,0.0,0.0,0.0,0.0,60,0.0,0.0,0.0,0.0,0.0
0.0,0.0,60,0.0018595,0.0,0.0,0.0,0.0,0.0,60,0.0,0.0,0.0,0.0,0.0
0.0,0.0,66,0.0018595,0.0,0.0,0.0,0.0,0.0,66,0.0,0.0,0.0,0.0,0.0
0.0,0.0,274,0.0018595,0.0,0.0,0.0,0.0,0.0,274,0.0,0.0,0.0,0.0,0.0
0.0,0.0,66,0.000108,0.0,0.0,0.0,0.0,0.0,66,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1514,8.1e-05,0.0,0.0,0.0,0.0,0.0,1514,0.0,0.0,0.0,0.0,0.0
167.0,62.0,1514,0.000715,0.0,0.0,0.0,0.0,265.70475697517395,1514,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1514,0.000108,0.0,0.0,0.0,0.0,0.0,1514,0.0,0.0,0.0,0.0,0.0
165.0,63.0,1514,0.000387,0.0,0.0,0.0,0.0,250.5140631198883,1514,0.0,0.0,0.0,0.0,0.0
154.0,62.0,1514,5.9e-05,0.0,0.0,0.0,0.0,-518.050656080246,1514,0.0,0.0,0.0,0.0,0.0
162.0,63.0,97,0.0018595,0.0,0.0,0.0,0.0,1.9267070293426516,97,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1514,0.000126,0.0,0.0,0.0,0.0,0.0,1514,0.0,0.0,0.0,0.0,0.0
0.0,0.0,167,3.6e-05,0.0,0.0,0.0,0.0,0.0,167,0.0,0.0,0.0,0.0,0.0
0.0,0.0,66,5.3e-05,0.0,0.0,0.0,0.0,0.0,66,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1514,0.000134,0.0,0.0,0.0,0.0,0.0,1514,0.0,0.0,0.0,0.0,0.0
148.0,64.5,1240,0.0018595,0.0,0.0,0.0,0.0,-0.1363608837127685,1240,0.0,0.0,0.0,0.0,0.0
160.0,61.0,1514,0.000764,0.0,0.0,0.0,0.0,524.0421979427338,1514,0.0,0.0,0.0,0.0,0.0
0.0,0.0,54,0.0018595,0.0,0.0,0.0,0.0,0.0,54,0.0,0.0,0.0,0.0,0.0
