frame.time_delta,frame.cap_len,frame.len,mqtt.clientid_len,mqtt.conack.flags.reserved,mqtt.conack.flags.sp,mqtt.conack.val,mqtt.conflag.cleansess,mqtt.len,mqtt.topic_len,connect_gap,publish_gap
4.8e-05,60,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.3e-05,1514,1514,0.0,0.0,0.0,0.0,0.0,170.0,64.0,0.0,0.0
3.7e-05,54,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.000145,1514,1514,0.0,0.0,0.0,0.0,0.0,174.0,63.0,0.0,250.42036509513852
6e-05,219,219,0.0,0.0,0.0,0.0,0.0,168.0,62.0,0.0,-516.7421190738678
0.000139,1514,1514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0018595,54,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.000563,1514,1514,0.0,0.0,0.0,0.0,0.0,168.0,64.0,0.0,516.7413721084595
0.000576,1514,1514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.000118,1514,1514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.000124,1514,1514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0018595,54,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.000323,1514,1514,0.0,0.0,0.0,0.0,0.0,175.0,63.0,0.0,-252.1941499710083
9.6e-05,1514,1514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.000579,1514,1514,0.0,0.0,0.0,0.0,0.0,160.0,62.0,0.0,258.879163980484
0.000101,1514,1514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001356,1514,1514,0.0,0.0,0.0,0.0,0.0,163.0,63.0,0.0,0.3150069713592529
8.5e-05,73,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3e-05,1514,1514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.000165,60,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.8e-05,66,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.4e-05,60,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.8e-05,1320,1320,0.0,0.0,0.0,0.0,0.0,170.0,64.0,0.0,-523.2184541225433
0.00025,60,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0018595,60,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0018595,66,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0018595,274,274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.000108,66,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.1e-05,1514,1514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.000715,1514,1514,0.0,0.0,0.0,0.0,0.0,167.0,62.0,0.0,265.70475697517395
0.000108,1514,1514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.000387,1514,1514,0.0,0.0,0.0,0.0,0.0,165.0,63.0,0.0,250.5140631198883
5.9e-05,1514,1514,0.0,0.0,0.0,0.0,0.0,154.0,62.0,0.0,-518.050656080246
0.0018595,97,97,0.0,0.0,0.0,0.0,0.0,162.0,63.0,0.0,1.9267070293426516
0.000126,1514,1514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.6e-05,167,167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.3e-05,66,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.000134,1514,1514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0018595,1240,1240,0.0,0.0,0.0,0.0,0.0,148.0,64.5,0.0,-0.1363608837127685
