frame.time_delta,frame.cap_len,frame.len,mqtt.clientid_len,mqtt.conack.flags.reserved,mqtt.conack.flags.sp,mqtt.conack.val,mqtt.conflag.cleansess,mqtt.len,mqtt.topic_len,connect_gap,publish_gap,mqtt.msgtype,mqtt.conflag.uname,mqtt.kalive
4.8e-05,60,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.3e-05,1514,1514,0.0,0.0,0.0,0.0,0.0,170.0,64.0,0.0,0.0,3.0,0.0,0.0
3.7e-05,54,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.000145,1514,1514,0.0,0.0,0.0,0.0,0.0,174.0,63.0,0.0,250.42036509513852,3.0,0.0,0.0
6e-05,219,219,0.0,0.0,0.0,0.0,0.0,168.0,62.0,0.0,-516.7421190738678,3.0,0.0,0.0
0.000139,1514,1514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0018595,54,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.000563,1514,1514,0.0,0.0,0.0,0.0,0.0,168.0,64.0,0.0,516.7413721084595,3.0,0.0,0.0
0.000576,1514,1514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.000118,1514,1514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.000124,1514,1514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0018595,54,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.000323,1514,1514,0.0,0.0,0.0,0.0,0.0,175.0,63.0,0.0,-252.1941499710083,3.0,0.0,0.0
9.6e-05,1514,1514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.000579,1514,1514,0.0,0.0,0.0,0.0,0.0,160.0,62.0,0.0,258.879163980484,3.0,0.0,0.0
0.000101,1514,1514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001356,1514,1514,0.0,0.0,0.0,0.0,0.0,163.0,63.0,0.0,0.3150069713592529,3.0,0.0,0.0
8.5e-05,73,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3e-05,1514,1514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.000165,60,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.8e-05,66,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.4e-05,60,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.8e-05,1320,1320,0.0,0.0,0.0,0.0,0.0,170.0,64.0,0.0,-523.2184541225433,3.0,0.0,0.0
0.00025,60,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0018595,60,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0018595,66,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0018595,274,274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.000108,66,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.1e-05,1514,1514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.000715,1514,1514,0.0,0.0,0.0,0.0,0.0,167.0,62.0,0.0,265.70475697517395,3.0,0.0,0.0
0.000108,1514,1514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.000387,1514,1514,0.0,0.0,0.0,0.0,0.0,165.0,63.0,0.0,250.5140631198883,3.0,0.0,0.0
5.9e-05,1514,1514,0.0,0.0,0.0,0.0,0.0,154.0,62.0,0.0,-518.050656080246,3.0,0.0,0.0
0.0018595,97,97,0.0,0.0,0.0,0.0,0.0,162.0,63.0,0.0,1.9267070293426516,3.0,0.0,0.0
0.000126,1514,1514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.6e-05,167,167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.3e-05,66,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.000134,1514,1514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0018595,1240,1240,0.0,0.0,0.0,0.0,0.0,148.0,64.5,0.0,-0.1363608837127685,3.0,0.0,0.0
0.000764,1514,1514,0.0,0.0,0.0,0.0,0.0,160.0,61.0,0.0,524.0421979427338,3.0,0.0,0.0
0.0018595,54,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.000748,54,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0018595,1392,1392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.000961,54,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0018595,74,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.000296,1514,1514,0.0,0.0,0.0,0.0,0.0,160.0,63.0,0.0,-256.5868670940399,3.0,0.0,0.0
0.000111,1514,1514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.000114,141,141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.000229,1514,1514,0.0,0.0,0.0,0.0,0.0,158.0,63.0,0.0,-2.232123851776123,3.0,0.0,0.0
0.000597,1514,1514,0.0,0.0,0.0,0.0,0.0,160.0,63.0,0.0,-260.7258701324463,3.0,0.0,0.0
0.000401,1514,1514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0018595,1514,1514,0.0,0.0,0.0,0.0,0.0,164.0,64.0,0.0,511.6192269325256,3.0,0.0,0.0
6.7e-05,1514,1514,0.0,0.0,0.0,0.0,0.0,159.0,61.0,0.0,5.093218088150024,3.0,0.0,0.0
0.0018595,80,80,0.0,0.0,0.0,0.0,0.0,148.0,60.5,0.0,-364.5762729644776,3.0,0.0,0.0
4.1e-05,1514,1514,0.0,0.0,0.0,0.0,0.0,171.0,64.0,0.0,106.94621300697328,3.0,0.0,0.0
0.001284,66,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.6e-05,1514,1514,0.0,0.0,0.0,0.0,0.0,166.0,63.0,0.0,257.35361909866333,3.0,0.0,0.0
0.000112,1514,1514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.000216,1514,1514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.000134,1514,1514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.000112,60,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.000123,1514,1514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.2e-05,1262,1262,0.0,0.0,0.0,0.0,0.0,162.0,63.0,0.0,-253.41631317138672,3.0,0.0,0.0
0.0018595,54,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.8e-05,60,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.3e-05,1514,1514,0.0,0.0,0.0,0.0,0.0,167.0,63.0,0.0,-269.2371699810028,3.0,0.0,0.0
0.000331,1514,1514,0.0,0.0,0.0,0.0,0.0,163.0,63.0,0.0,266.83384895324707,3.0,0.0,0.0
0.0018595,1514,1514,0.0,0.0,0.0,0.0,0.0,172.0,63.0,0.0,251.18091297149655,3.0,0.0,0.0
0.0018595,80,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2e-05,105,105,37.0,0.0,0.0,0.0,1.0,148.0,0.0,0.0,0.0,3.0,0.0,60.0
2.6e-05,1514,1514,0.0,0.0,0.0,0.0,0.0,164.0,63.0,0.0,-518.0334899425507,3.0,0.0,0.0
0.0018595,1392,1392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0018595,1514,1514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.000157,1514,1514,0.0,0.0,0.0,0.0,0.0,173.0,63.0,0.0,1.736335039138794,3.0,0.0,0.0
0.001244,1514,1514,0.0,0.0,0.0,0.0,0.0,156.0,63.0,0.0,523.2826120853424,3.0,0.0,0.0
3.4e-05,1514,1514,0.0,0.0,0.0,0.0,0.0,164.0,62.0,0.0,-257.4384791851044,3.0,0.0,0.0
0.000118,60,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.000507,1514,1514,0.0,0.0,0.0,0.0,0.0,167.0,63.0,0.0,-261.3054039478302,3.0,0.0,0.0
1.2e-05,615,615,0.0,0.0,0.0,0.0,0.0,171.0,63.0,0.0,265.1264569759369,3.0,0.0,0.0
0.000329,599,599,0.0,0.0,0.0,0.0,0.0,165.0,63.0,0.0,253.21361303329468,3.0,0.0,0.0
