Feature,Num Métodos,Métodos
frame.cap_len,6,"mRMR, Fisher, Pearson, ExtraTrees, LinearSVC, Lasso"
frame.len,6,"mRMR, Fisher, Pearson, ExtraTrees, LinearSVC, Lasso"
mqtt.conack.flags.reserved,6,"mRMR, Fisher, Pearson, ExtraTrees, LinearSVC, Lasso"
mqtt.qos,6,"mRMR, Fisher, Pearson, ExtraTrees, LinearSVC, Lasso"
mqtt.msgtype,6,"mRMR, Fisher, Pearson, ExtraTrees, LinearSVC, Lasso"
publish_gap,6,"mRMR, Fisher, Pearson, ExtraTrees, LinearSVC, Lasso"
mqtt.retain,6,"mRMR, Fisher, Pearson, ExtraTrees, LinearSVC, Lasso"
mqtt.len,6,"mRMR, Fisher, Pearson, ExtraTrees, LinearSVC, Lasso"
mqtt.kalive,6,"mRMR, Fisher, Pearson, ExtraTrees, LinearSVC, Lasso"
mqtt.topic_len,5,"mRMR, Fisher, Pearson, ExtraTrees, Lasso"
mqtt.clientid_len,5,"mRMR, Fisher, Pearson, ExtraTrees, LinearSVC"
mqtt.conflag.cleansess,5,"mRMR, Fisher, Pearson, ExtraTrees, LinearSVC"
frame.time_delta,4,"mRMR, ExtraTrees, LinearSVC, Lasso"
mqtt.conack.val,4,"mRMR, Fisher, Pearson, ExtraTrees"
mqtt.dupflag,4,"mRMR, Fisher, Pearson, Lasso"
connect_gap,3,"ExtraTrees, LinearSVC, Lasso"
mqtt.conflag.uname,2,"LinearSVC, Lasso"
mqtt.conack.flags.sp,2,"Fisher, Pearson"
mqtt.conflag.retain,2,"LinearSVC, Lasso"
