feature,RF_rank,XGB_rank,Perm_rank,mean_rank
mqtt.len,1,1,1,1.0
frame.cap_len,4,3,2,3.0
mqtt.topic_len,2,2,6,3.3333333333333335
mqtt.msgtype,3,5,5,4.333333333333333
frame.time_delta,6,6,4,5.333333333333333
frame.len,5,12,3,6.666666666666667
mqtt.kalive,9,7,7,7.666666666666667
mqtt.conflag.cleansess,14,9,10,11.0
mqtt.conack.flags.reserved,15,13,8,12.0
mqtt.conack.flags.sp,17,10,9,12.0
mqtt.proto_len,13,20,11,14.666666666666666
mqtt.clientid_len,8,8,28,14.666666666666666
mqtt.dupflag,16,4,27,15.666666666666666
mqtt.conflag.retain,19,15,13,15.666666666666666
mqtt.conack.val,12,11,25,16.0
mqtt.conflag.passwd,18,18,12,16.0
mqtt.conflag.reserved,20,16,16,17.333333333333332
mqtt.ver,11,27,15,17.666666666666668
mqtt.conflag.uname,22,14,17,17.666666666666668
mqtt.conflag.qos,21,17,18,18.666666666666668
mqtt.qos,7,22,29,19.333333333333332
mqtt.retain,10,23,26,19.666666666666668
mqtt.conflag.willflag,23,19,21,21.0
mqtt.passwd_len,24,21,19,21.333333333333332
mqtt.sub.qos,25,24,20,23.0
mqtt.willmsg_len,28,28,14,23.333333333333332
mqtt.suback.qos,26,25,24,25.0
mqtt.username_len,27,26,23,25.333333333333332
mqtt.willtopic_len,29,29,22,26.666666666666668
