categoria,modelo,accuracy,precision,f1,log_loss
Otimizado (Optuna),GradientBoosting (Optuna),0.9753764861294584,0.975732883125508,0.9753582508227661,0.07140572572110734
Optuna (mRMR),GradientBoosting,0.9753764861294584,0.975732883125508,0.9753582508227661,0.07140572572110734
Optuna (ExtraTrees),GradientBoosting,0.9753764861294584,0.975732883125508,0.9753582508227661,0.07140572572110734
Optuna (LowVariance),GradientBoosting,0.9753764861294584,0.975732883125508,0.9753582508227661,0.07140572572110734
Optuna (LinearSVC_L1),GradientBoosting,0.9753764861294584,0.975732883125508,0.9753582508227661,0.07140572572110734
Selecao (ExtraTrees),GradientBoosting,0.975112285336856,0.9754992088371812,0.9750928828494559,0.07355942856544816
Selecao (LinearSVC_L1),GradientBoosting,0.9750594451783355,0.9754433894205786,0.9750400907082356,0.07360720587685798
Baseline,GradientBoosting,0.9750594451783355,0.9754433894205786,0.9750400907082356,0.07357060204924622
Selecao (LowVariance),GradientBoosting,0.9750594451783355,0.9754433894205786,0.9750400907082356,0.0736174831123693
Selecao (mRMR),GradientBoosting,0.9750066050198151,0.9753875818427458,0.9749872988039685,0.07362571858660232
Ensemble (Otimizado),Smart Soft Voting,0.9746367239101718,0.9752983576905196,0.9746089211998584,0.08288349409121107
Baseline,DecisionTree,0.9743196829590489,0.9745725271497276,0.9743041625825434,0.13589516244636382
Baseline,RandomForest,0.9740554821664466,0.9746819939750347,0.9740279817644005,0.07242229086574783
Otimizado (Optuna),RandomForest (Optuna),0.9732100396301189,0.9740303446078087,0.9731760984145541,0.09581020929669294
Ensemble (Otimizado),Hard Voting,0.9715719947159841,0.9722701829917145,0.9715394397376046,
Otimizado (Optuna),DecisionTree (Optuna),0.9710964332892998,0.9717145858107762,0.9710657963851876,0.08208379040950631
Selecao (LassoCV),DecisionTree,0.9679788639365918,0.9687204328135551,0.9679403309371366,0.10993647924131829
Selecao (Fisher),DecisionTree,0.9679788639365918,0.9687283828560659,0.9679400618557904,0.10653698515418454
Selecao (Pearson),DecisionTree,0.9679788639365918,0.9687283828560659,0.9679400618557904,0.10653698515418454
Optuna (Pearson),GradientBoosting,0.9679260237780714,0.9685280596026715,0.9678922824296855,0.09997765367441339
Optuna (Fisher),GradientBoosting,0.9679260237780714,0.9685280596026715,0.9678922824296855,0.09997765367441339
Optuna (LassoCV),GradientBoosting,0.9678731836195509,0.9684930488588672,0.9678387440323555,0.10243828950603519
Ensemble (Otimizado),Averaging,0.9258124174372523,0.9350630354410215,0.9251886285079574,0.11570208812900946
Baseline,LDA,0.9238573315719947,0.9325756168824612,0.9232436432040473,0.37660057003676667
Otimizado (Optuna),LDA (Optuna),0.9236459709379128,0.9323853385448914,0.923029073269279,0.3765188238395499
Otimizado (Optuna),GaussianNB (Optuna),0.9233817701453104,0.9327850090511424,0.9227251498560419,1.1933207283147866
Baseline,QDA,0.9230647291941876,0.9315353638090984,0.922457475688747,0.9013911295311985
Otimizado (Optuna),QDA (Optuna),0.9230647291941876,0.9315353638090984,0.922457475688747,0.9838689249354476
Baseline,GaussianNB,0.9204755614266843,0.9281727204632788,0.9198898217812914,2.717418440940611
