seletor,modelo,n_features,accuracy,precision,f1,log_loss,fp_per_class,fn_per_class,model_path_optuna,model_path_refactored
ExtraTrees,GradientBoosting,15,0.9753764861294584,0.975732883125508,0.9753582508227661,0.07140572572110734,"[99, 367]","[367, 99]",../models/models_ensemble_v2/optuna/optuna_by_selector_extratrees_gradientboosting.pkl,../models/models_ensemble_v2/base/optuna_by_selector_extratrees_gradientboosting.pkl
ExtraTrees,RandomForest,15,0.9729458388375165,0.9737197958314932,0.9729128276058973,0.09170445007674521,"[60, 452]","[452, 60]",../models/models_ensemble_v2/optuna/optuna_by_selector_extratrees_randomforest.pkl,../models/models_ensemble_v2/base/optuna_by_selector_extratrees_randomforest.pkl
ExtraTrees,DecisionTree,15,0.9710964332892998,0.9717145858107762,0.9710657963851876,0.08208379040950631,"[97, 450]","[450, 97]",../models/models_ensemble_v2/optuna/optuna_by_selector_extratrees_decisiontree.pkl,../models/models_ensemble_v2/base/optuna_by_selector_extratrees_decisiontree.pkl
ExtraTrees,LDA,15,0.9238573315719947,0.9325756168824612,0.9232436432040473,0.37647718071036934,"[37, 1404]","[1404, 37]",../models/models_ensemble_v2/optuna/optuna_by_selector_extratrees_lda.pkl,../models/models_ensemble_v2/base/optuna_by_selector_extratrees_lda.pkl
ExtraTrees,QDA,15,0.9235402906208718,0.932143023304634,0.9229300603677567,1.5000086729085749,"[44, 1403]","[1403, 44]",../models/models_ensemble_v2/optuna/optuna_by_selector_extratrees_qda.pkl,../models/models_ensemble_v2/base/optuna_by_selector_extratrees_qda.pkl
ExtraTrees,GaussianNB,15,0.9234874504623514,0.9319958064575773,0.9228820400158961,1.5310311452701435,"[48, 1400]","[1400, 48]",../models/models_ensemble_v2/optuna/optuna_by_selector_extratrees_gaussiannb.pkl,../models/models_ensemble_v2/base/optuna_by_selector_extratrees_gaussiannb.pkl
Fisher,GradientBoosting,15,0.9679260237780714,0.9685280596026715,0.9678922824296855,0.09997765367441339,"[128, 479]","[479, 128]",../models/models_ensemble_v2/optuna/optuna_by_selector_fisher_gradientboosting.pkl,../models/models_ensemble_v2/base/optuna_by_selector_fisher_gradientboosting.pkl
Fisher,DecisionTree,15,0.9673976221928666,0.968248019404539,0.967354628892083,0.10063130863849186,"[101, 516]","[516, 101]",../models/models_ensemble_v2/optuna/optuna_by_selector_fisher_decisiontree.pkl,../models/models_ensemble_v2/base/optuna_by_selector_fisher_decisiontree.pkl
Fisher,RandomForest,15,0.9672919418758257,0.9681590164681819,0.9672482387533144,0.12316066905865494,"[100, 519]","[519, 100]",../models/models_ensemble_v2/optuna/optuna_by_selector_fisher_randomforest.pkl,../models/models_ensemble_v2/base/optuna_by_selector_fisher_randomforest.pkl
Fisher,GaussianNB,15,0.9234874504623514,0.9319958064575773,0.9228820400158961,1.4754018782672698,"[48, 1400]","[1400, 48]",../models/models_ensemble_v2/optuna/optuna_by_selector_fisher_gaussiannb.pkl,../models/models_ensemble_v2/base/optuna_by_selector_fisher_gaussiannb.pkl
Fisher,QDA,15,0.9234874504623514,0.9320488553901473,0.922879047577982,1.1956939170798164,"[46, 1402]","[1402, 46]",../models/models_ensemble_v2/optuna/optuna_by_selector_fisher_qda.pkl,../models/models_ensemble_v2/base/optuna_by_selector_fisher_qda.pkl
Fisher,LDA,15,0.9209511228533686,0.9300902642763974,0.9202848670700556,0.3693954160504253,"[46, 1450]","[1450, 46]",../models/models_ensemble_v2/optuna/optuna_by_selector_fisher_lda.pkl,../models/models_ensemble_v2/base/optuna_by_selector_fisher_lda.pkl
LassoCV,GradientBoosting,15,0.9678731836195509,0.9684930488588672,0.9678387440323555,0.10243828950603519,"[126, 482]","[482, 126]",../models/models_ensemble_v2/optuna/optuna_by_selector_lassocv_gradientboosting.pkl,../models/models_ensemble_v2/base/optuna_by_selector_lassocv_gradientboosting.pkl
LassoCV,RandomForest,15,0.9672919418758257,0.9681504654648947,0.9672485243537114,0.1146672740139853,"[101, 518]","[518, 101]",../models/models_ensemble_v2/optuna/optuna_by_selector_lassocv_randomforest.pkl,../models/models_ensemble_v2/base/optuna_by_selector_lassocv_randomforest.pkl
LassoCV,DecisionTree,15,0.9649669749009248,0.9656260495565507,0.9649275746584933,0.10492691368151855,"[147, 516]","[516, 147]",../models/models_ensemble_v2/optuna/optuna_by_selector_lassocv_decisiontree.pkl,../models/models_ensemble_v2/base/optuna_by_selector_lassocv_decisiontree.pkl
LassoCV,LDA,15,0.9234874504623514,0.932022308870447,0.9228805447037554,0.3769637124193488,"[47, 1401]","[1401, 47]",../models/models_ensemble_v2/optuna/optuna_by_selector_lassocv_lda.pkl,../models/models_ensemble_v2/base/optuna_by_selector_lassocv_lda.pkl
LassoCV,GaussianNB,15,0.9234346103038309,0.9319283218223441,0.9228295292481358,1.468694857573291,"[49, 1400]","[1400, 49]",../models/models_ensemble_v2/optuna/optuna_by_selector_lassocv_gaussiannb.pkl,../models/models_ensemble_v2/base/optuna_by_selector_lassocv_gaussiannb.pkl
LassoCV,QDA,15,0.9229062087186262,0.9312542920097229,0.9223044531985555,0.8790025888588376,"[59, 1400]","[1400, 59]",../models/models_ensemble_v2/optuna/optuna_by_selector_lassocv_qda.pkl,../models/models_ensemble_v2/base/optuna_by_selector_lassocv_qda.pkl
LinearSVC_L1,GradientBoosting,15,0.9753764861294584,0.975732883125508,0.9753582508227661,0.07140572572110734,"[99, 367]","[367, 99]",../models/models_ensemble_v2/optuna/optuna_by_selector_linearsvc_l1_gradientboosting.pkl,../models/models_ensemble_v2/base/optuna_by_selector_linearsvc_l1_gradientboosting.pkl
LinearSVC_L1,RandomForest,15,0.9730515191545575,0.9738587514362262,0.9730177225085647,0.0941748726540014,"[55, 455]","[455, 55]",../models/models_ensemble_v2/optuna/optuna_by_selector_linearsvc_l1_randomforest.pkl,../models/models_ensemble_v2/base/optuna_by_selector_linearsvc_l1_randomforest.pkl
LinearSVC_L1,DecisionTree,15,0.9710964332892998,0.9717145858107762,0.9710657963851876,0.08208379040950631,"[97, 450]","[450, 97]",../models/models_ensemble_v2/optuna/optuna_by_selector_linearsvc_l1_decisiontree.pkl,../models/models_ensemble_v2/base/optuna_by_selector_linearsvc_l1_decisiontree.pkl
LinearSVC_L1,LDA,15,0.9236459709379128,0.9324122281374386,0.9230275656639161,0.37645073224786374,"[37, 1408]","[1408, 37]",../models/models_ensemble_v2/optuna/optuna_by_selector_linearsvc_l1_lda.pkl,../models/models_ensemble_v2/base/optuna_by_selector_linearsvc_l1_lda.pkl
LinearSVC_L1,GaussianNB,15,0.9234874504623514,0.9319958064575773,0.9228820400158961,1.530592434498436,"[48, 1400]","[1400, 48]",../models/models_ensemble_v2/optuna/optuna_by_selector_linearsvc_l1_gaussiannb.pkl,../models/models_ensemble_v2/base/optuna_by_selector_linearsvc_l1_gaussiannb.pkl
LinearSVC_L1,QDA,15,0.923223249669749,0.9317113219691701,0.9226164982729753,1.022836120933883,"[51, 1402]","[1402, 51]",../models/models_ensemble_v2/optuna/optuna_by_selector_linearsvc_l1_qda.pkl,../models/models_ensemble_v2/base/optuna_by_selector_linearsvc_l1_qda.pkl
