stage,seletor,modelo,status,error_message,n_features,n_trials,n_cv_folds,tempo_fit_sec,tempo_predict_sec,tempo_proba_sec,tempo_joblib_dump_sec,tempo_otimizacao_sec,tempo_total_sec,experiment_timestamp
baseline,,LDA,success,,22.0,,,0.18575220300044748,0.002465121999193798,0.0013619590008602245,,,0.1895792840005015,2026-06-02T15:41:26.768696
baseline,,QDA,success,,22.0,,,0.10979644200051553,0.01573859100062691,0.010705333999794675,,,0.1362403670009371,2026-06-02T15:41:27.069760
baseline,,GaussianNB,success,,22.0,,,0.06060541500119143,0.0037289890005922643,0.0037362949988164473,,,0.06807069900060014,2026-06-02T15:41:27.246021
baseline,,DecisionTree,success,,22.0,,,0.08473284100000456,0.0020663879986386746,0.0012124900003982475,,,0.08801171899904148,2026-06-02T15:41:27.458086
baseline,,RandomForest,success,,22.0,,,1.3764218209998944,0.04240255799959414,0.04215438999926846,,,1.460978768998757,2026-06-02T15:41:29.041220
baseline,,GradientBoosting,success,,22.0,,,4.249689543999921,0.020758836000823067,0.020926146000419976,,,4.291374526001164,2026-06-02T15:41:33.454190
feature_selection,LowVariance,LDA,success,,12.0,,,0.08009481100089033,0.0009839750000537606,0.0007775180001772242,,,0.08185630400112132,2026-06-02T15:41:40.580111
feature_selection,LowVariance,QDA,success,,12.0,,,0.07248203100061801,0.0028468760010582628,0.00232977099949494,,,0.07765867800117121,2026-06-02T15:41:40.821758
feature_selection,LowVariance,GaussianNB,success,,12.0,,,0.04741414300042379,0.0018235529987578047,0.002188500999181997,,,0.051426196998363594,2026-06-02T15:41:40.978413
feature_selection,LowVariance,DecisionTree,success,,12.0,,,0.07570255500104395,0.0013537670001824154,0.0008841879989631707,,,0.07794051000018953,2026-06-02T15:41:41.177342
feature_selection,LowVariance,RandomForest,success,,12.0,,,1.284486647000449,0.042473891999179614,0.04192809199957992,,,1.3688886309992085,2026-06-02T15:41:42.667834
feature_selection,LowVariance,GradientBoosting,success,,12.0,,,3.8359113090009487,0.019894402001227718,0.019928179999624263,,,3.8757338910018007,2026-06-02T15:41:46.664804
feature_selection_selector_total,LowVariance,,success,,12.0,,,,,,,,6.312217482000051,2026-06-02T15:41:46.664912
feature_selection,Pearson,LDA,success,,15.0,,,0.08721877499920083,0.0010632489993440686,0.0008443530005024513,,,0.08912637699904735,2026-06-02T15:41:46.901999
feature_selection,Pearson,QDA,success,,15.0,,,0.07872640000095998,0.0030638049993285676,0.0026011609988927376,,,0.08439136599918129,2026-06-02T15:41:47.145618
feature_selection,Pearson,GaussianNB,success,,15.0,,,0.048651193999830866,0.002056508999885409,0.002211297000030754,,,0.05291899999974703,2026-06-02T15:41:47.302834
feature_selection,Pearson,DecisionTree,success,,15.0,,,0.05298295099964889,0.001380278999931761,0.0009179240005323663,,,0.05528115400011302,2026-06-02T15:41:47.480651
feature_selection,Pearson,RandomForest,success,,15.0,,,0.8451543940009287,0.035774644999037264,0.0354968049996387,,,0.9164258439996047,2026-06-02T15:41:48.518789
feature_selection,Pearson,GradientBoosting,success,,15.0,,,1.9697176449990366,0.020901644000332453,0.021098127999721328,,,2.0117174169990903,2026-06-02T15:41:50.651540
feature_selection_selector_total,Pearson,,success,,15.0,,,,,,,,3.98211759699916,2026-06-02T15:41:50.651636
feature_selection,Fisher,LDA,success,,15.0,,,0.08021876599923417,0.0009629280011722585,0.0007516380010201829,,,0.0819333320014266,2026-06-02T15:41:50.882494
feature_selection,Fisher,QDA,success,,15.0,,,0.07527750999906857,0.0026205360009043943,0.0024363889988308074,,,0.08033443499880377,2026-06-02T15:41:51.123817
feature_selection,Fisher,GaussianNB,success,,15.0,,,0.04774864799946954,0.0017361749996780418,0.002034690998698352,,,0.051519513997845934,2026-06-02T15:41:51.280307
feature_selection,Fisher,DecisionTree,success,,15.0,,,0.05257827400055248,0.0012748609988193493,0.0007632059987372486,,,0.05461634099810908,2026-06-02T15:41:51.456842
feature_selection,Fisher,RandomForest,success,,15.0,,,0.7888095480011543,0.03585125500103459,0.03538441199998488,,,0.8600452150021738,2026-06-02T15:41:52.438394
feature_selection,Fisher,GradientBoosting,success,,15.0,,,1.8938782200002606,0.02103169899964996,0.02097714799856476,,,1.9358870669984753,2026-06-02T15:41:54.496514
