categoria,modelo,accuracy,precision,f1,log_loss
Optuna (mRMR),GradientBoosting,0.9753764861294584,0.975732883125508,0.9753582508227661,0.07140572572110734
Optuna (ExtraTrees),GradientBoosting,0.9753764861294584,0.975732883125508,0.9753582508227661,0.07140572572110734
Optuna (LowVariance),GradientBoosting,0.9753764861294584,0.975732883125508,0.9753582508227661,0.07140572572110734
Optuna (LinearSVC_L1),GradientBoosting,0.9753764861294584,0.975732883125508,0.9753582508227661,0.07140572572110734
Otimizado (Optuna),GradientBoosting (Optuna),0.9753764861294584,0.975732883125508,0.9753582508227661,0.07140572572110734
Selecao (LinearSVC_L1),GradientBoosting,0.9750594451783355,0.9754433894205786,0.9750400907082356,0.07359721208114085
Selecao (ExtraTrees),GradientBoosting,0.9750594451783355,0.9754433894205786,0.9750400907082356,0.07356801749934792
Selecao (LowVariance),GradientBoosting,0.9750594451783355,0.9754433894205786,0.9750400907082356,0.07360984440517557
Baseline,GradientBoosting,0.9750594451783355,0.9754433894205786,0.9750400907082356,0.07356274623980362
Selecao (mRMR),GradientBoosting,0.9750066050198151,0.9753875818427458,0.9749872988039685,0.07362571858660232
Baseline,DecisionTree,0.9743196829590489,0.9745725271497276,0.9743041625825434,0.13589516244636385
Baseline,RandomForest,0.9740554821664466,0.9746819939750347,0.9740279817644005,0.07242229086574786
Otimizado (Optuna),RandomForest (Optuna),0.9730515191545575,0.9738258260496214,0.9730186368730616,0.08843972598860342
Otimizado (Optuna),DecisionTree (Optuna),0.9710964332892998,0.9717145858107762,0.9710657963851876,0.08208379040950631
Selecao (LassoCV),DecisionTree,0.9679788639365918,0.9687204328135551,0.9679403309371366,0.10828218835937785
Selecao (Fisher),DecisionTree,0.9679788639365918,0.9687283828560659,0.9679400618557904,0.10653698515418454
Selecao (Pearson),DecisionTree,0.9679788639365918,0.9687283828560659,0.9679400618557904,0.10653698515418454
Optuna (Pearson),GradientBoosting,0.9679260237780714,0.9685280596026715,0.9678922824296855,0.09996785632212815
Optuna (Fisher),GradientBoosting,0.9679260237780714,0.9685280596026715,0.9678922824296855,0.09996785632212815
Optuna (LassoCV),GradientBoosting,0.9678731836195509,0.9684930488588672,0.9678387440323555,0.10242240788620302
Ensemble,Soft Voting,0.9279260237780713,0.9365797910192066,0.9273543252596148,0.10670977014460767
Ensemble,Averaging,0.9254953764861295,0.9345987957774495,0.9248763966697287,0.10845786878272706
Baseline,LDA,0.9238573315719947,0.9325756168824612,0.9232436432040473,0.3766005700367668
Otimizado (Optuna),LDA (Optuna),0.9236459709379128,0.9323853385448914,0.923029073269279,0.3765188238395495
Otimizado (Optuna),GaussianNB (Optuna),0.9233817701453104,0.9327850090511424,0.9227251498560419,1.1933207283147855
Baseline,QDA,0.9230647291941876,0.9315353638090984,0.922457475688747,0.901391129531199
Otimizado (Optuna),QDA (Optuna),0.9230647291941876,0.9315353638090984,0.922457475688747,0.9838689249354484
Baseline,GaussianNB,0.9204755614266843,0.9281727204632788,0.9198898217812914,2.7174184409406115
