seletor,modelo,n_features,accuracy,precision,f1,log_loss,fp_per_class,fn_per_class
ExtraTrees,GradientBoosting,15,0.9750594451783355,0.9754433894205786,0.9750400907082356,0.07356801749934792,"[97, 375]","[375, 97]"
ExtraTrees,RandomForest,15,0.9745838837516513,0.9751133344472857,0.9745597322061268,0.07198075199442258,"[78, 403]","[403, 78]"
ExtraTrees,DecisionTree,15,0.9743196829590489,0.9745725271497276,0.9743041625825434,0.1340308816887908,"[129, 357]","[357, 129]"
ExtraTrees,LDA,15,0.9238573315719947,0.9325756168824612,0.9232436432040473,0.37647718071036884,"[37, 1404]","[1404, 37]"
ExtraTrees,QDA,15,0.9230647291941876,0.9315353638090984,0.922457475688747,0.8778341431150296,"[53, 1403]","[1403, 53]"
ExtraTrees,GaussianNB,15,0.9204755614266843,0.9281727204632788,0.9198898217812914,2.3431607753325756,"[105, 1400]","[1400, 105]"
Fisher,DecisionTree,15,0.9679788639365918,0.9687283828560659,0.9679400618557904,0.10653698515418454,"[108, 498]","[498, 108]"
Fisher,GradientBoosting,15,0.9677146631439895,0.9685325547323321,0.9676732053220652,0.09925755221306377,"[102, 509]","[509, 102]"
Fisher,RandomForest,15,0.9676089828269485,0.968434849732652,0.967567110139083,0.0992378083779733,"[102, 511]","[511, 102]"
Fisher,LDA,15,0.9209511228533686,0.9300902642763974,0.9202848670700556,0.3693954160504237,"[46, 1450]","[1450, 46]"
Fisher,GaussianNB,15,0.9205284015852048,0.9282143581817669,0.9199438002083518,2.1875487753669365,"[105, 1399]","[1399, 105]"
Fisher,QDA,15,0.9197357992073977,0.9291575633785756,0.9190405758490052,0.6665365164725167,"[46, 1473]","[1473, 46]"
LassoCV,DecisionTree,15,0.9679788639365918,0.9687204328135551,0.9679403309371366,0.10828218835937785,"[109, 497]","[497, 109]"
LassoCV,GradientBoosting,15,0.9678203434610304,0.9685974885557266,0.9677803971035791,0.09920403879007218,"[106, 503]","[503, 106]"
LassoCV,RandomForest,15,0.9676089828269485,0.968426503778979,0.9675673893002061,0.0993419288972751,"[103, 510]","[510, 103]"
LassoCV,LDA,15,0.9234874504623514,0.932022308870447,0.9228805447037554,0.3769637124193488,"[47, 1401]","[1401, 47]"
