stage,seletor,modelo,status,error_message,n_features,n_trials,n_cv_folds,tempo_fit_sec,tempo_predict_sec,tempo_proba_sec,tempo_joblib_dump_sec,tempo_otimizacao_sec,tempo_total_sec,experiment_timestamp
baseline,,LDA,success,,22.0,,,0.1641885880017071,0.00189069800399011,0.002858928004570771,,,0.16893821401026798,2026-05-03T23:48:03.446705
baseline,,QDA,success,,22.0,,,0.1276311990004615,0.004764607998367865,0.006969740999920759,,,0.13936554799875012,2026-05-03T23:48:03.789177
baseline,,GaussianNB,success,,22.0,,,0.06932018500083359,0.0032202000002143905,0.003704608003317844,,,0.07624499300436582,2026-05-03T23:48:04.013618
baseline,,DecisionTree,success,,22.0,,,0.10852847699425183,0.0020755990044563077,0.0016548109997529536,,,0.1122588869984611,2026-05-03T23:48:04.308038
baseline,,RandomForest,success,,22.0,,,1.7541298360010842,0.06752787299774354,0.06737259800138418,,,1.889030307000212,2026-05-03T23:48:06.373922
baseline,,GradientBoosting,success,,22.0,,,5.638477968997904,0.026619049000146333,0.026738464999652933,,,5.691835482997703,2026-05-03T23:48:12.236202
feature_selection,LowVariance,LDA,success,,12.0,,,0.13975394400040386,0.00108346100023482,0.0009382459975313395,,,0.14177565099817002,2026-05-03T23:48:20.118495
feature_selection,LowVariance,QDA,success,,12.0,,,0.11598261300241575,0.00412214200332528,0.00917481000215048,,,0.1292795650078915,2026-05-03T23:48:20.448947
feature_selection,LowVariance,GaussianNB,success,,12.0,,,0.06439229900570353,0.0027936080005019903,0.003762542000913527,,,0.07094844900711905,2026-05-03T23:48:20.673949
feature_selection,LowVariance,DecisionTree,success,,12.0,,,0.10766970899567241,0.0016666270021232776,0.0011062119956477545,,,0.11044254799344344,2026-05-03T23:48:20.963720
feature_selection,LowVariance,RandomForest,success,,12.0,,,1.8081584749961621,0.06876062900118995,0.067009872997005,,,1.943928976994357,2026-05-03T23:48:23.087922
feature_selection,LowVariance,GradientBoosting,success,,12.0,,,5.382206615999166,0.025610090997361112,0.025400313003046904,,,5.433217019999574,2026-05-03T23:48:28.697413
feature_selection_selector_total,LowVariance,,success,,12.0,,,,,,,,8.913517356995726,2026-05-03T23:48:28.697524
feature_selection,Pearson,LDA,success,,15.0,,,0.1539229530026205,0.0012154439973528497,0.001152024997281842,,,0.15629042199725518,2026-05-03T23:48:29.044229
feature_selection,Pearson,QDA,success,,15.0,,,0.10232181799801765,0.006253929001104552,0.006489168001280632,,,0.11506491500040283,2026-05-03T23:48:29.360216
