categoria,modelo,accuracy,precision,f1,log_loss
Otimizado (Optuna),RandomForest (Optuna),0.9642800528401585,0.9653097287507989,0.9642260813933997,0.10010565406605326
Optuna (LowVariance),RandomForest,0.964227212681638,0.9653181335446771,0.9641710083976748,0.10240157996931543
Optuna (LinearSVC_L1),GradientBoosting,0.9641215323645971,0.9650286616606695,0.964071696289307,0.10106469844906867
Otimizado (Optuna),GradientBoosting (Optuna),0.9641215323645971,0.9650286616606695,0.964071696289307,0.10107056265991518
Optuna (mRMR),GradientBoosting,0.9641215323645971,0.9650286616606695,0.964071696289307,0.10106343899791638
Optuna (ExtraTrees),GradientBoosting,0.9641215323645971,0.9650286616606695,0.964071696289307,0.10107056265991518
Selecao (LinearSVC_L1),GradientBoosting,0.9625891677675033,0.9639089666302005,0.9625219499373597,0.10785696648734666
Selecao (mRMR),GradientBoosting,0.9625891677675033,0.9639089666302005,0.9625219499373597,0.10786347199528191
Selecao (ExtraTrees),GradientBoosting,0.9625891677675033,0.9639089666302005,0.9625219499373597,0.10786475866457407
Selecao (LowVariance),GradientBoosting,0.9625891677675033,0.9639089666302005,0.9625219499373597,0.10784820241254249
Baseline,GradientBoosting,0.9625891677675033,0.9639089666302005,0.9625219499373597,0.10784432125198952
Otimizado (Optuna),DecisionTree (Optuna),0.9623249669749009,0.9631404096376114,0.9622759379508597,0.13709062133945987
Baseline,DecisionTree,0.9619550858652576,0.9627244245077061,0.9619073729532677,0.1427069550161217
Baseline,RandomForest,0.9613210039630119,0.9631131919647856,0.9612347013571205,0.15104918096098602
Ensemble,Soft Voting,0.9603170409511228,0.9624561433362582,0.9602163435998442,0.2553226382297212
Optuna (LassoCV),DecisionTree,0.955667107001321,0.95720577495578,0.955576893503826,0.15279706627433032
Selecao (LassoCV),DecisionTree,0.9544517833553501,0.9565665062236547,0.9543354190316967,0.1547663091345864
Optuna (Fisher),DecisionTree,0.9529722589167767,0.9544894468722341,0.9528768061045952,0.15905948099556197
Optuna (Pearson),DecisionTree,0.9529722589167767,0.9544894468722341,0.9528768061045952,0.15905948099556197
Selecao (Fisher),DecisionTree,0.9518097754293263,0.9539574801116464,0.9516844384799314,0.15973277682786663
Selecao (Pearson),DecisionTree,0.9518097754293263,0.9539574801116464,0.9516844384799314,0.15973277682786663
Ensemble,Averaging,0.9505944517833553,0.954408758652703,0.9503979120555142,0.3625019616858453
Otimizado (Optuna),LDA (Optuna),0.6337648612945839,0.6465003897764575,0.6296023966000933,0.6405572773504569
Baseline,LDA,0.6326023778071335,0.6450037235557247,0.6285451645741941,0.639049130960089
Otimizado (Optuna),QDA (Optuna),0.6122060766182299,0.6209214095155903,0.6092481396141771,0.7043900858387955
Otimizado (Optuna),GaussianNB (Optuna),0.5308322324966975,0.6362331341017818,0.3895894353371982,4.491517794087395
Baseline,QDA,0.5310964332892999,0.642280114165988,0.38947997973115156,3.3430070541277908
Baseline,GaussianNB,0.5292470277410832,0.6271511548265863,0.3862832063683481,5.794636819994931
