seletor,modelo,n_features,accuracy,precision,f1,log_loss,fp_per_class,fn_per_class,model_path_optuna,model_path_refactored
ExtraTrees,GradientBoosting,15,0.9641215323645971,0.9650286616606695,0.964071696289307,0.10107056265991518,"[124, 555]","[555, 124]",../models/models_refactored_strategy_median/optuna/optuna_by_selector_extratrees_gradientboosting.pkl,../models/models_refactored_strategy_median/base/optuna_by_selector_extratrees_gradientboosting.pkl
ExtraTrees,RandomForest,15,0.9640158520475561,0.9650772677178439,0.9639603195368495,0.10935785279217354,"[108, 573]","[573, 108]",../models/models_refactored_strategy_median/optuna/optuna_by_selector_extratrees_randomforest.pkl,../models/models_refactored_strategy_median/base/optuna_by_selector_extratrees_randomforest.pkl
ExtraTrees,DecisionTree,15,0.9623249669749009,0.9631404096376114,0.9622759379508597,0.13709062133945987,"[151, 562]","[562, 151]",../models/models_refactored_strategy_median/optuna/optuna_by_selector_extratrees_decisiontree.pkl,../models/models_refactored_strategy_median/base/optuna_by_selector_extratrees_decisiontree.pkl
ExtraTrees,LDA,15,0.6337648612945839,0.6465003897764575,0.6296023966000933,0.6404204550680457,"[4666, 2265]","[2265, 4666]",../models/models_refactored_strategy_median/optuna/optuna_by_selector_extratrees_lda.pkl,../models/models_refactored_strategy_median/base/optuna_by_selector_extratrees_lda.pkl
ExtraTrees,QDA,15,0.6118361955085865,0.620172395554004,0.6090611084752319,0.7115576971111545,"[4671, 2675]","[2675, 4671]",../models/models_refactored_strategy_median/optuna/optuna_by_selector_extratrees_qda.pkl,../models/models_refactored_strategy_median/base/optuna_by_selector_extratrees_qda.pkl
ExtraTrees,GaussianNB,15,0.5308322324966975,0.6362331341017818,0.3895894353371982,4.50103283753788,"[107, 8772]","[8772, 107]",../models/models_refactored_strategy_median/optuna/optuna_by_selector_extratrees_gaussiannb.pkl,../models/models_refactored_strategy_median/base/optuna_by_selector_extratrees_gaussiannb.pkl
Fisher,DecisionTree,15,0.9529722589167767,0.9544894468722341,0.9528768061045952,0.15905948099556197,"[163, 727]","[727, 163]",../models/models_refactored_strategy_median/optuna/optuna_by_selector_fisher_decisiontree.pkl,../models/models_refactored_strategy_median/base/optuna_by_selector_fisher_decisiontree.pkl
Fisher,GradientBoosting,15,0.9527080581241744,0.9544022674432456,0.9526043228615879,0.15283642864181116,"[150, 745]","[745, 150]",../models/models_refactored_strategy_median/optuna/optuna_by_selector_fisher_gradientboosting.pkl,../models/models_refactored_strategy_median/base/optuna_by_selector_fisher_gradientboosting.pkl
Fisher,RandomForest,15,0.9519154557463673,0.9536105004887774,0.9518097234529308,0.16827052552982597,"[157, 753]","[753, 157]",../models/models_refactored_strategy_median/optuna/optuna_by_selector_fisher_randomforest.pkl,../models/models_refactored_strategy_median/base/optuna_by_selector_fisher_randomforest.pkl
Fisher,LDA,15,0.6321268163804491,0.6445679447617652,0.6280348569006529,0.6395969769994948,"[4671, 2291]","[2291, 4671]",../models/models_refactored_strategy_median/optuna/optuna_by_selector_fisher_lda.pkl,../models/models_refactored_strategy_median/base/optuna_by_selector_fisher_lda.pkl
Fisher,QDA,15,0.6112549537648613,0.6199323880788997,0.6082897619759505,0.6862034376789361,"[4702, 2655]","[2655, 4702]",../models/models_refactored_strategy_median/optuna/optuna_by_selector_fisher_qda.pkl,../models/models_refactored_strategy_median/base/optuna_by_selector_fisher_qda.pkl
