seletor,modelo,n_features,accuracy,precision,f1,log_loss,fp_per_class,fn_per_class
ExtraTrees,GradientBoosting,15,0.9625891677675033,0.9639089666302005,0.9625219499373597,0.10786475866457407,"[95, 613]","[613, 95]"
ExtraTrees,DecisionTree,15,0.9619550858652576,0.9627244245077061,0.9619073729532677,0.14457763887143096,"[160, 560]","[560, 160]"
ExtraTrees,RandomForest,15,0.9614266842800528,0.9631706911680321,0.9613422805043598,0.15005410184619414,"[68, 662]","[662, 68]"
ExtraTrees,LDA,15,0.6326023778071335,0.6450037235557247,0.6285451645741941,0.639049130960089,"[4663, 2290]","[2290, 4663]"
ExtraTrees,QDA,15,0.5310964332892999,0.642280114165988,0.38947997973115156,3.3430070541277885,"[99, 8775]","[8775, 99]"
ExtraTrees,GaussianNB,15,0.5292470277410832,0.6271511548265863,0.3862832063683481,5.794636819994935,"[107, 8802]","[8802, 107]"
Fisher,DecisionTree,15,0.9518097754293263,0.9539574801116464,0.9516844384799314,0.15973277682786663,"[122, 790]","[790, 122]"
Fisher,GradientBoosting,15,0.9513870541611625,0.9535448363889603,0.951260054371203,0.15604622512303115,"[125, 795]","[795, 125]"
Fisher,RandomForest,15,0.9512813738441215,0.9535057287050576,0.9511512581549106,0.176349080537913,"[121, 801]","[801, 121]"
Fisher,LDA,15,0.6321268163804491,0.6445679447617652,0.6280348569006529,0.6395519677744727,"[4671, 2291]","[2291, 4671]"
Fisher,GaussianNB,15,0.5308322324966975,0.6356754914963395,0.38967174741444344,4.816254765712413,"[108, 8771]","[8771, 108]"
Fisher,QDA,15,0.5305680317040952,0.7471051269553095,0.38023487245953846,2.8771056993723896,"[3, 8881]","[8881, 3]"
LassoCV,DecisionTree,15,0.9544517833553501,0.9565665062236547,0.9543354190316967,0.1547663091345864,"[101, 761]","[761, 101]"
LassoCV,GradientBoosting,15,0.9543989431968296,0.9564933891551969,0.9542832283976905,0.14996397527629696,"[103, 760]","[760, 103]"
LassoCV,RandomForest,15,0.9543989431968296,0.9565199106142869,0.9542821818523747,0.16766796089459926,"[101, 762]","[762, 101]"
LassoCV,LDA,15,0.6324966974900925,0.6461619199520484,0.6278737212350493,0.6405821844364962,"[4729, 2226]","[2226, 4729]"
LassoCV,QDA,15,0.5308322324966975,0.6362331341017818,0.3895894353371982,2.436115894222658,"[107, 8772]","[8772, 107]"
LassoCV,GaussianNB,15,0.5308322324966975,0.6362331341017818,0.3895894353371982,4.718433176432631,"[107, 8772]","[8772, 107]"
LinearSVC_L1,GradientBoosting,15,0.9625891677675033,0.9639089666302005,0.9625219499373597,0.10785696648734666,"[95, 613]","[613, 95]"
LinearSVC_L1,DecisionTree,15,0.9619550858652576,0.9627244245077061,0.9619073729532677,0.14270971251959175,"[160, 560]","[560, 160]"
LinearSVC_L1,RandomForest,15,0.9617965653896962,0.9633369550910961,0.9617200130759873,0.1452032583811992,"[82, 641]","[641, 82]"
LinearSVC_L1,LDA,15,0.6326023778071335,0.6450037235557247,0.6285451645741941,0.6390501758789282,"[4663, 2290]","[2290, 4663]"
LinearSVC_L1,QDA,15,0.5310435931307794,0.6414035255907451,0.38945243637287275,3.0030156439072773,"[100, 8775]","[8775, 100]"
LinearSVC_L1,GaussianNB,15,0.5292470277410832,0.6271511548265863,0.3862832063683481,5.51185697791918,"[107, 8802]","[8802, 107]"
LowVariance,GradientBoosting,12,0.9625891677675033,0.9639089666302005,0.9625219499373597,0.10784820241254249,"[95, 613]","[613, 95]"
LowVariance,RandomForest,12,0.962007926023778,0.9634930582273394,0.9619337494382907,0.12784610627338228,"[85, 634]","[634, 85]"
LowVariance,DecisionTree,12,0.9619550858652576,0.9627244245077061,0.9619073729532677,0.14457763887143096,"[160, 560]","[560, 160]"
LowVariance,LDA,12,0.6333949801849406,0.6469859474606716,0.6288412793620288,0.6395202361025587,"[4714, 2224]","[2224, 4714]"
LowVariance,QDA,12,0.530990752972259,0.6399418682379349,0.3895073607764285,2.1464173837044913,"[102, 8774]","[8774, 102]"
LowVariance,GaussianNB,12,0.5292470277410832,0.6271511548265863,0.3862832063683481,4.914224419465306,"[107, 8802]","[8802, 107]"
Pearson,DecisionTree,15,0.9518097754293263,0.9539574801116464,0.9516844384799314,0.15973277682786663,"[122, 790]","[790, 122]"
Pearson,GradientBoosting,15,0.9513870541611625,0.9535448363889603,0.951260054371203,0.15604622512303115,"[125, 795]","[795, 125]"
Pearson,RandomForest,15,0.9512813738441215,0.9535057287050576,0.9511512581549106,0.176349080537913,"[121, 801]","[801, 121]"
Pearson,LDA,15,0.6321268163804491,0.6445679447617652,0.6280348569006529,0.6395519677744727,"[4671, 2291]","[2291, 4671]"
Pearson,GaussianNB,15,0.5308322324966975,0.6356754914963395,0.38967174741444344,4.816254765712413,"[108, 8771]","[8771, 108]"
