stage,seletor,modelo,status,error_message,n_features,n_trials,n_cv_folds,tempo_fit_sec,tempo_predict_sec,tempo_proba_sec,tempo_joblib_dump_sec,tempo_otimizacao_sec,tempo_total_sec,experiment_timestamp
feature_selection,LowVariance,LDA,success,,12,,,0.1089101870002196,0.0010955679999824497,0.0008864790006555268,,,0.11089223400085757,2026-05-04T20:34:36.147527
feature_selection,LowVariance,QDA,success,,12,,,0.09240944300017873,0.0031866729996181675,0.00255900800038944,,,0.09815512400018633,2026-05-04T20:34:36.438048
feature_selection,LowVariance,GaussianNB,success,,12,,,0.06022287199994025,0.0018443870003466145,0.0020940160002282937,,,0.06416127500051516,2026-05-04T20:34:36.644612
feature_selection,LowVariance,DecisionTree,success,,12,,,0.1075352230000135,0.0015910309994069394,0.0011390130002837395,,,0.11026526699970418,2026-05-04T20:34:36.920982
feature_selection,LowVariance,RandomForest,success,,12,,,1.6911194650001562,0.072790798000824,0.07353399099974922,,,1.8374442540007294,2026-05-04T20:34:38.922774
feature_selection,LowVariance,GradientBoosting,success,,12,,,4.79628444699938,0.02917355299996416,0.0292481989999942,,,4.854706198999338,2026-05-04T20:34:43.945632
feature_selection,Pearson,LDA,success,,15,,,0.11185500499959744,0.0010526839996600756,0.0008584870001868694,,,0.11376617599944439,2026-05-04T20:34:44.239110
feature_selection,Pearson,QDA,success,,15,,,0.09469108600023901,0.0033866469993881765,0.003478186999927857,,,0.10155591999955504,2026-05-04T20:34:44.539190
feature_selection,Pearson,GaussianNB,success,,15,,,0.062175229999411386,0.0021781960003863787,0.0021379599993451848,,,0.06649138599914295,2026-05-04T20:34:44.750498
feature_selection,Pearson,DecisionTree,success,,15,,,0.08000925699980144,0.0016279169994959375,0.0010671430000002147,,,0.08270431699929759,2026-05-04T20:34:45.008993
feature_selection,Pearson,RandomForest,success,,15,,,1.0825995059994966,0.06381105499986006,0.06157935900046141,,,1.207989919999818,2026-05-04T20:34:46.383334
