categoria,modelo,accuracy,precision,f1,log_loss
Otimizado (Optuna),DecisionTree (Optuna),0.9753764861294584,0.9756646512110522,0.9753604559530865,0.08061290970694872
Selecao (ExtraTrees),GradientBoosting,0.9750594451783355,0.9754433894205786,0.9750400907082356,0.07356801749934792
Selecao (LowVariance),GradientBoosting,0.9750594451783355,0.9754433894205786,0.9750400907082356,0.07360984440517557
Baseline,GradientBoosting,0.9750594451783355,0.9754433894205786,0.9750400907082356,0.07356274623980362
Selecao (LinearSVC_L1),GradientBoosting,0.9750594451783355,0.9754433894205786,0.9750400907082356,0.07359721208114085
Selecao (mRMR),GradientBoosting,0.9750066050198151,0.9753875818427458,0.9749872988039685,0.07362571858660232
Otimizado (Optuna),GradientBoosting (Optuna),0.9744782034346103,0.9749940056231564,0.974454342285468,0.07835469160299556
Otimizado (Optuna),RandomForest (Optuna),0.9744782034346103,0.9750141470760071,0.9744537551921626,0.07108750203107757
Baseline,DecisionTree,0.9743196829590489,0.9745725271497276,0.9743041625825434,0.13589516244636385
Baseline,RandomForest,0.9740554821664466,0.9746819939750347,0.9740279817644005,0.07242229086574786
Selecao (LassoCV),DecisionTree,0.9679788639365918,0.9687204328135551,0.9679403309371366,0.10828218835937785
Selecao (Pearson),DecisionTree,0.9679788639365918,0.9687283828560659,0.9679400618557904,0.10653698515418454
Selecao (Fisher),DecisionTree,0.9679788639365918,0.9687283828560659,0.9679400618557904,0.10653698515418454
Ensemble,Soft Voting,0.9279260237780713,0.9365797910192066,0.9273543252596148,0.10670977014460767
Ensemble,Averaging,0.9254953764861295,0.9345987957774495,0.9248763966697287,0.10845786878272706
Baseline,LDA,0.9238573315719947,0.9325756168824612,0.9232436432040473,0.3766005700367668
Otimizado (Optuna),LDA (Optuna),0.9236459709379128,0.9323853385448914,0.923029073269279,0.3765188238395495
Otimizado (Optuna),QDA (Optuna),0.9230647291941876,0.9315353638090984,0.922457475688747,0.8834612578546447
Baseline,QDA,0.9230647291941876,0.9315353638090984,0.922457475688747,0.901391129531199
Otimizado (Optuna),GaussianNB (Optuna),0.9205812417437252,0.9283562881244081,0.9199917791935774,2.8341995580255595
Baseline,GaussianNB,0.9204755614266843,0.9281727204632788,0.9198898217812914,2.7174184409406115
