seletor,modelo,n_features,accuracy,precision,f1,log_loss,fp_per_class,fn_per_class,model_path_optuna,model_path_refactored
ExtraTrees,DecisionTree,15,0.9753764861294584,0.9756646512110522,0.9753604559530865,0.08061290970694872,"[112, 354]","[354, 112]",../models/models_optuna/optuna_by_selector_extratrees_decisiontree.pkl,../models/models_refactored/optuna_by_selector_extratrees_decisiontree.pkl
ExtraTrees,GradientBoosting,15,0.9744782034346103,0.9749940056231564,0.974454342285468,0.07835469160299556,"[81, 402]","[402, 81]",../models/models_optuna/optuna_by_selector_extratrees_gradientboosting.pkl,../models/models_refactored/optuna_by_selector_extratrees_gradientboosting.pkl
ExtraTrees,RandomForest,15,0.9743196829590489,0.9748654377435017,0.974294785534918,0.07172598874145528,"[78, 408]","[408, 78]",../models/models_optuna/optuna_by_selector_extratrees_randomforest.pkl,../models/models_refactored/optuna_by_selector_extratrees_randomforest.pkl
ExtraTrees,LDA,15,0.9238573315719947,0.9325756168824612,0.9232436432040473,0.37647718071036884,"[37, 1404]","[1404, 37]",../models/models_optuna/optuna_by_selector_extratrees_lda.pkl,../models/models_refactored/optuna_by_selector_extratrees_lda.pkl
ExtraTrees,QDA,15,0.9231704095112285,0.9316702951331014,0.922562490457951,0.9761576007973951,"[51, 1403]","[1403, 51]",../models/models_optuna/optuna_by_selector_extratrees_qda.pkl,../models/models_refactored/optuna_by_selector_extratrees_qda.pkl
ExtraTrees,GaussianNB,15,0.9207926023778071,0.928623342508413,0.9202017063561454,2.836699734387403,"[97, 1402]","[1402, 97]",../models/models_optuna/optuna_by_selector_extratrees_gaussiannb.pkl,../models/models_refactored/optuna_by_selector_extratrees_gaussiannb.pkl
Fisher,DecisionTree,15,0.9680845442536328,0.968697786239858,0.9680505871537394,0.1073083835724289,"[125, 479]","[479, 125]",../models/models_optuna/optuna_by_selector_fisher_decisiontree.pkl,../models/models_refactored/optuna_by_selector_fisher_decisiontree.pkl
Fisher,GradientBoosting,15,0.9679260237780714,0.9685280596026715,0.9678922824296855,0.10391875957207011,"[128, 479]","[479, 128]",../models/models_optuna/optuna_by_selector_fisher_gradientboosting.pkl,../models/models_refactored/optuna_by_selector_fisher_gradientboosting.pkl
Fisher,RandomForest,15,0.9678731836195509,0.9686709356563669,0.9678326183799834,0.10592485072241385,"[103, 505]","[505, 103]",../models/models_optuna/optuna_by_selector_fisher_randomforest.pkl,../models/models_refactored/optuna_by_selector_fisher_randomforest.pkl
Fisher,GaussianNB,15,0.9210568031704095,0.9289068018152379,0.9204671288952394,2.8340913165468318,"[94, 1400]","[1400, 94]",../models/models_optuna/optuna_by_selector_fisher_gaussiannb.pkl,../models/models_refactored/optuna_by_selector_fisher_gaussiannb.pkl
