seletor,modelo,n_features,accuracy,precision,recall,f1,log_loss
ExtraTrees,RandomForest,15,0.9747952443857332,0.975325222976527,0.9747952443857332,0.9747712936846623,0.07172946073383561
ExtraTrees,GradientBoosting,15,0.9744782034346103,0.9750006763669732,0.9744782034346103,0.9744541471646166,0.0762371532026113
ExtraTrees,DecisionTree,15,0.9743196829590489,0.9745725271497276,0.9743196829590489,0.9743041625825434,0.1340308816887908
Fisher,DecisionTree,15,0.9679788639365918,0.9687283828560659,0.9679788639365918,0.9679400618557904,0.10653698515418454
Fisher,GradientBoosting,15,0.9676089828269485,0.968434849732652,0.9676089828269485,0.967567110139083,0.10228834474029407
Fisher,RandomForest,15,0.9674504623513871,0.9682883617651679,0.9674504623513871,0.9674079625659229,0.0992892298460355
LassoCV,DecisionTree,15,0.9679788639365918,0.9687204328135551,0.9679788639365918,0.9679403309371366,0.10828218835937785
LassoCV,RandomForest,15,0.9676089828269485,0.968426503778979,0.9676089828269485,0.9675673893002061,0.09943335595006843
LassoCV,GradientBoosting,15,0.9675033025099076,0.9683287959732615,0.9675033025099076,0.9674612932064209,0.10225285246723348
LinearSVC_L1,RandomForest,15,0.9748480845442536,0.9754020623899056,0.9748480845442536,0.9748235045610749,0.0719183337532879
LinearSVC_L1,GradientBoosting,15,0.9744782034346103,0.9750006763669732,0.9744782034346103,0.9744541471646166,0.07621604757113558
LinearSVC_L1,DecisionTree,15,0.9743196829590489,0.9745725271497276,0.9743196829590489,0.9743041625825434,0.1340308816887908
LowVariance,GradientBoosting,12,0.9744782034346103,0.9750006763669732,0.9744782034346103,0.9744541471646166,0.07622561673111092
LowVariance,RandomForest,12,0.9743725231175694,0.9749014459180443,0.9743725231175694,0.9743481707275916,0.07140665342826397
LowVariance,DecisionTree,12,0.9742668428005284,0.9745172887031412,0.9742668428005284,0.9742513751336283,0.1340675076956896
Pearson,DecisionTree,15,0.9679788639365918,0.9687283828560659,0.9679788639365918,0.9679400618557904,0.10653698515418454
Pearson,GradientBoosting,15,0.9676089828269485,0.968434849732652,0.9676089828269485,0.967567110139083,0.10228834474029407
Pearson,RandomForest,15,0.9674504623513871,0.9682883617651679,0.9674504623513871,0.9674079625659229,0.0992892298460355
mRMR,RandomForest,15,0.9748480845442536,0.9753352710948531,0.9748480845442536,0.9748254274925577,0.07172102487995632
mRMR,GradientBoosting,15,0.9744782034346103,0.9750006763669732,0.9744782034346103,0.9744541471646166,0.07623628203032962
mRMR,DecisionTree,15,0.9743196829590489,0.9745725271497276,0.9743196829590489,0.9743041625825434,0.13589516244636385
