stage,seletor,modelo,status,error_message,n_features,n_trials,n_cv_folds,tempo_fit_sec,tempo_predict_sec,tempo_proba_sec,tempo_joblib_dump_sec,tempo_otimizacao_sec,tempo_total_sec,experiment_timestamp
baseline,,LDA,success,,22.0,,,0.13557146299990563,0.0013612570000987034,0.0009967739997591707,,,0.1379294939997635,2026-04-24T10:53:17.260394
baseline,,QDA,success,,22.0,,,0.11691145900022093,0.005418818999714858,0.004012200000033772,,,0.12634247799996956,2026-04-24T10:53:17.581703
baseline,,GaussianNB,success,,22.0,,,0.06652129999974932,0.002638995999859617,0.003466759999810165,,,0.0726270559994191,2026-04-24T10:53:17.798721
baseline,,DecisionTree,success,,22.0,,,0.10176632000002428,0.001976104000277701,0.001413432999925135,,,0.10515585700022712,2026-04-24T10:53:18.068650
baseline,,RandomForest,success,,22.0,,,1.4840692620000482,0.0673469829998794,0.06511427300029027,,,1.6165305180002179,2026-04-24T10:53:19.857191
baseline,,GradientBoosting,success,,22.0,,,4.888231701999757,0.025809637999827828,0.025874580999698082,,,4.939915920999283,2026-04-24T10:53:24.963580
feature_selection,LowVariance,LDA,success,,12.0,,,0.1058556339999086,0.0011215350000384205,0.0009553849999974773,,,0.1079325539999445,2026-04-24T10:53:31.934874
feature_selection,LowVariance,QDA,success,,12.0,,,0.09960985699990488,0.002905797000039456,0.002755013999831135,,,0.10527066799977547,2026-04-24T10:53:32.235594
feature_selection,LowVariance,GaussianNB,success,,12.0,,,0.061340514999756124,0.00191958400000658,0.0025379339999744843,,,0.06579803299973719,2026-04-24T10:53:32.445565
feature_selection,LowVariance,DecisionTree,success,,12.0,,,0.0987212179998096,0.0017365250000693777,0.001151731999925687,,,0.10160947499980466,2026-04-24T10:53:32.713146
feature_selection,LowVariance,RandomForest,success,,12.0,,,1.5302029800000128,0.06341029400027764,0.0649291350000567,,,1.658542409000347,2026-04-24T10:53:34.537978
feature_selection,LowVariance,GradientBoosting,success,,12.0,,,4.643492717999834,0.02385417799996503,0.02357528699985778,,,4.690922182999657,2026-04-24T10:53:39.396979
feature_selection_selector_total,LowVariance,,success,,12.0,,,,,,,,7.750505880999754,2026-04-24T10:53:39.397079
feature_selection,Pearson,LDA,success,,15.0,,,0.10655061999977988,0.001081558000350924,0.000857964999795513,,,0.10849014299992632,2026-04-24T10:53:39.684056
